C:\Users\°ûµÎÆÈ\Desktop\IMG\center_2022_06_09_10_54_03_407.jpg,C:\Users\°ûµÎÆÈ\Desktop\IMG\left_2022_06_09_10_54_03_407.jpg,C:\Users\°ûµÎÆÈ\Desktop\IMG\right_2022_06_09_10_54_03_407.jpg,0,0,0,1.51E-05
C:\Users\°ûµÎÆÈ\Desktop\IMG\center_2022_06_09_10_54_03_477.jpg,C:\Users\°ûµÎÆÈ\Desktop\IMG\left_2022_06_09_10_54_03_477.jpg,C:\Users\°ûµÎÆÈ\Desktop\IMG\right_2022_06_09_10_54_03_477.jpg,0,0,0,7.41E-05
C:\Users\°ûµÎÆÈ\Desktop\IMG\center_2022_06_09_10_54_03_543.jpg,C:\Users\°ûµÎÆÈ\Desktop\IMG\left_2022_06_09_10_54_03_543.jpg,C:\Users\°ûµÎÆÈ\Desktop\IMG\right_2022_06_09_10_54_03_543.jpg,0,0,0,8.48E-05
C:\Users\°ûµÎÆÈ\Desktop\IMG\center_2022_06_09_10_54_03_614.jpg,C:\Users\°ûµÎÆÈ\Desktop\IMG\left_2022_06_09_10_54_03_614.jpg,C:\Users\°ûµÎÆÈ\Desktop\IMG\right_2022_06_09_10_54_03_614.jpg,0,0,0,0.0001155006
C:\Users\°ûµÎÆÈ\Desktop\IMG\center_2022_06_09_10_54_03_684.jpg,C:\Users\°ûµÎÆÈ\Desktop\IMG\left_2022_06_09_10_54_03_684.jpg,C:\Users\°ûµÎÆÈ\Desktop\IMG\right_2022_06_09_10_54_03_684.jpg,0,0,0,0.0001259797
C:\Users\°ûµÎÆÈ\Desktop\IMG\center_2022_06_09_10_54_03_755.jpg,C:\Users\°ûµÎÆÈ\Desktop\IMG\left_2022_06_09_10_54_03_755.jpg,C:\Users\°ûµÎÆÈ\Desktop\IMG\right_2022_06_09_10_54_03_755.jpg,0,0,0,0.0001491669
C:\Users\°ûµÎÆÈ\Desktop\IMG\center_2022_06_09_10_54_03_825.jpg,C:\Users\°ûµÎÆÈ\Desktop\IMG\left_2022_06_09_10_54_03_825.jpg,C:\Users\°ûµÎÆÈ\Desktop\IMG\right_2022_06_09_10_54_03_825.jpg,0,0,0,0.0001889567
C:\Users\°ûµÎÆÈ\Desktop\IMG\center_2022_06_09_10_54_03_892.jpg,C:\Users\°ûµÎÆÈ\Desktop\IMG\left_2022_06_09_10_54_03_892.jpg,C:\Users\°ûµÎÆÈ\Desktop\IMG\right_2022_06_09_10_54_03_892.jpg,0,0,0,0.0002799369
C:\Users\°ûµÎÆÈ\Desktop\IMG\center_2022_06_09_10_54_03_963.jpg,C:\Users\°ûµÎÆÈ\Desktop\IMG\left_2022_06_09_10_54_03_963.jpg,C:\Users\°ûµÎÆÈ\Desktop\IMG\right_2022_06_09_10_54_03_963.jpg,0,0,0,4.12E-05
C:\Users\°ûµÎÆÈ\Desktop\IMG\center_2022_06_09_10_54_04_034.jpg,C:\Users\°ûµÎÆÈ\Desktop\IMG\left_2022_06_09_10_54_04_034.jpg,C:\Users\°ûµÎÆÈ\Desktop\IMG\right_2022_06_09_10_54_04_034.jpg,0,0.0124788,0,0.008816819
